City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1167798,Pithoro,PK,25.5167,69.3833,98.15,38,24,22.57
3421982,Maniitsoq,GL,65.4167,-52.9,38.71,68,3,7.87
2156927,Moree,AU,-29.4667,149.85,64.42,55,40,9.22
2062276,Roebourne,AU,-20.7833,117.1333,77.81,32,0,10.36
2312895,Mbandaka,CD,0.0487,18.2603,72.72,74,55,3.44
2172797,Cairns,AU,-16.9167,145.7667,72.32,95,90,6.91
2038421,Bayan,CN,46.0833,127.4,80.24,68,47,6.64
610023,Dossor,KZ,47.5272,52.9811,74.61,31,0,23.17
3401148,Cururupu,BR,-1.8283,-44.8683,72.82,96,5,3.29
5225507,Warwick,US,41.7001,-71.4162,69.19,92,1,0.0
4755280,Danville,US,36.586,-79.395,76.21,79,1,0.0
1242110,Kalmunai,LK,7.4167,81.8167,88.16,62,40,1.72
1516048,Khovd,MN,48.0056,91.6419,85.1,24,54,7.63
3577154,Oranjestad,AW,12.524,-70.027,82.35,83,75,17.27
6540819,Siderno,IT,38.2779,16.302,82.15,50,0,1.9
2318123,Yenagoa,NG,4.9247,6.2642,73.92,94,100,2.68
3421719,Narsaq,GL,60.9167,-46.05,48.42,79,100,2.62
491019,Sol'-Iletsk,RU,51.1631,54.9918,55.98,90,100,22.88
484670,Taman',RU,45.2117,36.7161,75.52,72,100,15.41
2652513,Colwyn Bay,GB,53.2948,-3.7267,56.89,95,100,3.85
1513491,Yangi Marg`ilon,UZ,40.4272,71.7189,92.12,33,0,4.61
2084442,Vanimo,PG,-2.6741,141.3028,83.7,72,92,6.11
6167817,Torbay,CA,47.6666,-52.7314,59.41,91,75,20.71
468307,Yegorlykskaya,RU,46.5656,40.6562,75.92,53,31,12.28
5380437,Pacific Grove,US,36.6177,-121.9166,56.82,90,90,5.01
1506676,Gari,RU,59.4307,62.3497,80.73,39,3,5.17
2242001,Caxito,AO,-8.5785,13.6643,72.25,88,88,3.58
1529376,Korla,CN,41.7597,86.1469,94.48,18,100,10.54
2088163,Popondetta,PG,-8.7537,148.2534,77.7,93,98,3.09
610445,Balyqshy,KZ,47.0667,51.8667,73.4,38,0,20.13
1528998,Yumen,CN,40.2833,97.2,97.25,9,55,17.07
1508350,Chebarkul',RU,54.9749,60.3633,69.17,43,95,12.24
3609418,Guaimaca,HN,14.5333,-86.8167,71.2,90,76,5.23
3514440,Xochistlahuaca,MX,16.7833,-98.25,72.36,95,99,3.04
